id,kel_jabatan_id,nama,status_aktif
275,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DOGMATIKA,1
276,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOKIMIA,1
277,A5EB03E23DD1F6A0E040640A040252AD,DOSEN HISTOLOGI,1
278,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DOKTER MEDICAL EDUCATION,1
279,A5EB03E23DD1F6A0E040640A040252AD,DOSEN PARASITOLOGI,1
280,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DRAMA,1
281,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKOLOGI AQUATIK,1
282,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKOLOGI TUMBUHAN,1
283,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMETRIKA,1
284,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI,1
285,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI BISNIS,1
286,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI DAN KEUANGAN SYARIAH,1
287,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI DAN PERBANKAN ISLAM,1
288,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI INTERNASIONAL,1
289,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI ISLAM,1
290,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI MAKRO ISLAM,1
291,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI MAKRO MIKRO,1
292,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI MANAJERIAL,1
293,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI MIKRO ISLAM,1
294,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI PEMBANGUNAN,1
295,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI PEMBANGUNAN ISLAM,1
296,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI PERENCANAAN PEMBANGUNAN,1
297,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI SUMBER DAYA ALAM DAN LINGKUNGAN,1
298,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EKONOMI SYARIAH,1
299,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ELEKTRODINAMIKA,1
300,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ELEKTRONIKA DAN FISIKA MATERIAL,1
301,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EMBRIOLOGI,1
302,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ENGLISH AND AMERICAN LITERATURE,1
303,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ENGLISH LITERATURE,1
304,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ENTREPRENEURSHIP,1
305,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETIKA BISNIS ISLAM,1
306,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETIKA DAKWAH DAN KOMUNIKASI,1
