id;tk_pendidikan_id;nama;status
8ae4828940c402800140c8c02dfa74c4;40;S-1 MANAJEMEN SUMBER DAYA PERAIRAN;0
ff80808141007d28014101678d1a034f;30;#DELETE#;0
8ae48289413134b9014139fecec154b2;45;#DELETE#;0
8ae48289413134b9014158c1209f23f8;40;0192589;0
ff8080814159ae0801416cccb0221f0a;35;#DELETE#;0
ff8080814173fbf20141969d43fa08bf;40;#DELETE#;0
8ae482885142dce50151565ae5886645;35;D-IV PGAN;1
ff8080814095dd6401409a1be9293f7d;40;#DELETE#;0
8ae4828941007e71014116607f341f71;40;#DELETE#;0
ff80808141007d2801414dbe984f14ac;40;#DELETE#;0
ff8080814173fbf20141969e753a092d;40;S-1/A-IV SYARIAH;0
ff8080814173fbf2014196a5f8810ce1;40;#DELETE#;0
E86E1A1A0565B570E040640A18027F34;30;D-III DESAIN KOMUNIKASI VISUAL;0
ff80808141007c2301410613f1e8377e;35;#DELETE#;0
ff80808141007c2301410bf5f8274c52;40;0191217;0
ff80808141007c2301410c0152985ab3;40;0191221;0
8ae4828941007e710141158bb307467d;40;#DELETE#;0
ff8080814159ae0801416caad3f17429;40;#DELETE#;0
E86E1A1A057AB570E040640A18027F34;30;D-III RADIODIAGNOSTIK DAN RADIOTERAPI;0
E86E1A1A059FB570E040640A18027F34;40;#DELETE#;0
ff80808141007d28014101b35fbf079e;40;#DELETE#;0
8ae4828941007e7101410b79fae20fb4;40;#DELETE#;0
ff80808141007c2301410c0d591c649a;40;#DELETE#;0
A5EB03E215B4F6A0E040640A040252AD;15;SLTA UMUM;1
8ae4828941007e7101410fef6e2717de;40;#DELETE#;0
ff80808141007c2301410ffdfe104267;40;0191248;0
ff80808141007d2801411002954f289e;40;#DELETE#;0
ff80808141007d2801411002cbb128c5;40;#DELETE#;0
ff80808141007d280141100301b22905;40;#DELETE#;0
ff80808141007d28014110034033294d;40;#DELETE#;0
8ae4828941007e710141164d92bb0f76;40;#DELETE#;0
8ae4828741007d01014121b2d3391515;40;#DELETE#;0
8ae4828741007d01014122bcdfe62eb9;40;0191370;0
8ae482894192a6ae01419be69c524f67;40;#DELETE#;0
ff8080814174053001419c2d952543b8;40;#DELETE#;0
E86E1A1A058EB570E040640A18027F34;30;D-III TEKNIK RADIODIAGNOSTIK;0
ff8080814095df6d0140aa2d4b657568;40;#DELETE#;0
ff80808141007d28014101aa53e90771;40;#DELETE#;0
ff80808141007d28014117911e783c72;40;#DELETE#;0
8ae4828741007d01014122bdac3e2eba;40;#DELETE#;0
8ae48289413134b90141398f65e930d5;40;#DELETE#;0
8ae48289413134b901413991c4563189;40;#DELETE#;0
ff80808141007c2301414e3f8f504998;45;#DELETE#;0
ff8080814159ae080141724465bb2eaa;45;#DELETE#;0
E86E1A1A05B0B570E040640A18027F34;40;S-1 AKUNTANSI NEGARA;0
E86E1A1A05B1B570E040640A18027F34;40;#DELETE#;0
ff80808141007c23014106f20a1577b6;40;#DELETE#;0
8ae4828941007e7101410ff0ec4f18f0;40;0191246;0
ff80808141007d28014134e1019a5166;40;#DELETE#;0
ff8080814173fbf2014191d95f0a41b1;45;#DELETE#;0
E86E1A1A0600B570E040640A18027F34;45;#DELETE#;0
E86E1A1A0601B570E040640A18027F34;45;#DELETE#;0
ff8080814095df6d0140a9ebcaf94e38;40;#DELETE#;0
ff80808141007c23014106eedc3775c1;40;#DELETE#;0
8ae4828941007e710141073ff8ae5b56;35;#DELETE#;0
ff80808141007c2301410c2a0cc5784e;40;#DELETE#;0
ff80808141007d2801411002eae828e1;40;#DELETE#;0
ff80808141007d28014125416ed02312;40;#DELETE#;0
ff80808141007c230141303ca6dd67ea;20;D-I ADMINISTRASI KESEHATAN;0
ff80808141007d28014134fab3d36b9c;40;#DELETE#;0
8ae4828841312f470141363076163883;40;#DELETE#;0
8ae482874131301e01413646ae663a37;40;#DELETE#;0
8ae4829641313684014138f186cd736a;40;5191432;0
8ae48289413134b901413a6cfe601761;40;S-1 PEMANFAATAN SUMBER DAYA PERAIRAN;0
ff8080814095dd6401409a72892b725d;40;S-1 TEKNIK METALURGI;0
ff80808140ba2ada0140be703b2d45a0;40;#DELETE#;0
ff80808141007c23014106ff0665009b;40;#DELETE#;0
ff80808141007c2301410b570f924057;30;#DELETE#;0
ff80808141007d28014111337038326b;20;0450078;0
ff80808141007c23014130a1dcbc7116;40;#DELETE#;0
8ae48289413134b901415831dfb25207;40;S-1 PERAWAT;0
ff8080814159ae08014172d1b8c661e9;40;#DELETE#;0
ff8080814173fbf2014196b11a4f14b6;40;#DELETE#;0
ff8080814173fbf2014196b1ab9e150b;40;#DELETE#;0
ff808081417405300141a5608a2c1d67;40;#DELETE#;0
8ae4828741a18d7b0141a889928477e4;40;S-1 KEPENDIDIKAN;0
8ae4828741a18d7b0141a88bc26377e8;40;#DELETE#;0
8ae4828741a18d7b0141a88e56af77ed;40;0192698;0
8ae4828741a18d7b0141a88f75aa77f1;40;S-1 PENDIDIKAN JASMANI KESEHATAN DAN REKREASI;0
ff808081417405300141d9ac50cc7944;45;#DELETE#;0
ff80808141fe8f50014201e25e9c2a4d;20;3450077;0
