id,nama,status
443,LSP P1 SMK NEGERI 1 KLUNGKUNG,1
444,LSP P1 SMK NEGERI 1 KOTO BARU,1
445,LSP P1 SMK NEGERI 1 PADANG,1
446,LSP P1 SMK NEGERI 1 PASAMAN,1
447,LSP P1 SMK NEGERI 1 PATI,1
448,LSP P1 SMK NEGERI 1 REJOTANGAN,1
449,LSP P1 SMK NEGERI 1 SUKAWATI,1
450,LSP P1 SMK NEGERI 1 TANJUNGPINANG,1
451,LSP P1 SMK NEGERI 1 YOGYAKARTA,1
452,LSP P1 SMK NEGERI 17 JAKARTA,1
453,LSP P1 SMK NEGERI 2 BALIGE,1
454,LSP P1 SMK NEGERI 2 SAMPIT,1
455,LSP P1 SMK NEGERI 3 KOTABUMI,1
456,LSP P1 SMK NEGERI 39 JAKARTA,1
457,LSP P1 SMK NEGERI 4 GARUT,1
458,LSP P1 SMK NEGERI 4 PALEMBANG,1
459,LSP P1 SMK NEGERI 5 PONTIANAK,1
460,LSP P1 SMK NEGERI 6 SEMARANG,1
461,LSP P1 SMK NEGERI JUMANTONO,1
462,LSP P1 SMK PANGUDI LUHUR MUNTILAN,1
463,LSP P1 SMK PELITA 1 CIAMPEA,1
464,LSP P1 SMK PGRI LUMAJANG,1
465,LSP P1 SMK PUTRA BANGSA,1
466,LSP P1 SMK SAKTI GEMOLONG,1
467,LSP P1 SMK SATRIA,1
468,LSP P1 SMK SWASTA PERSIAPAN,1
469,LSP P1 SMK SYUBBANUL WATHON,1
470,LSP P1 SMK TAMANSISWA BANJARNEGARA,1
471,LSP P1 SMK TAMTAMA KARANGANYAR,1
472,LSP P1 SMK TAMTAMA KROYA,1
473,LSP P1 SMK TARUNA TERPADU 1,1
474,LSP P1 SMK THERESIANA SEMARANG,1
475,LSP P1 SMK YAPENTOB TOBOALI,1
476,LSP P1 SMK YAPPENDA,1
477,LSP P1 SMK YAPPI WONOSARI,1
478,LSP P1 SMKN 1 ABUNG SELATAN,1
479,LSP P1 SMKN 1 BABELAN,1
480,LSP P1 SMKN 1 BULAKAMBA,1
481,LSP P1 SMKN 1 GODEAN,1
482,LSP P1 SMKN 1 KALIJAMBE,1
483,LSP P1 SMKN 1 KALIWUNGU,1
484,LSP P1 SMKN 1 KANDIS,1
485,LSP P1 SMKN 1 KEDUNGWUNI,1
486,LSP P1 SMKN 1 KUALA KAPUAS,1
487,LSP P1 SMKN 1 LUMAJANG,1
488,LSP P1 SMKN 1 MEJAYAN,1
489,LSP P1 SMKN 1 MURUNG PUDAK,1
490,LSP P1 SMKN 1 PABELAN,1
491,LSP P1 SMKN 1 PACITAN,1
492,LSP P1 SMKN 1 PANGKALAN BUN,1
493,LSP P1 SMKN 1 PANYABUNGAN,1
494,LSP P1 SMKN 1 SALATIGA,1
495,LSP P1 SMKN 1 SEKAYU,1
496,LSP P1 SMKN 1 SOREANG,1
497,LSP P1 SMKN 1 SUMARORONG,1
498,LSP P1 SMKN 1 TANJUNG RAYA,1
499,LSP P1 SMKN 2 PADANG,1
500,LSP P1 SMKN 2 SIJUNJUNG,1
501,LSP P1 SMKN 2 SIMPANG EMPAT,1
502,LSP P1 SMKN 2 SOE,1
503,LSP P1 SMKN 2 WONOSOBO,1
504,LSP P1 SMKN 27,1
505,LSP P1 SMKN 3 BALEENDAH,1
506,LSP P1 SMKN 3 GARUT,1
507,LSP P1 SMKN 3 YOGYAKARTA,1
508,LSP P1 SMKN 30 JAKARTA,1
509,LSP P1 SMKN 33 JAKARTA,1
510,LSP P1 SMKN 4 JEMBER,1
511,LSP P1 SMKN 4 KAB.TANGERANG,1
512,LSP P1 SMKN 4 MALANG,1
